"SYMBOL","СTO_1","СTO_2","СTO_3","СTO_4","СTO_5","СTO_6","СTO_7","СTO_8","СTO_9","СTO_10"
"METTL26","988","1174","2363","1194","905","869","709","498","865","670"
"METTL27","144","53","266","325","56","169","51","95","28","28"
"METTL2A","378","893","930","421","351","478","1038","365","286","324"
"METTL2B","439","315","604","402","557","338","540","728","372","279"
"METTL3","553","901","1531","1893","1040","478","897","1111","935","577"
"METTL4","96","1723","452","328","371","244","468","277","190","150"
"METTL5","1571","2259","2526","1573","1209","1260","1992","1514","1039","1052"
"METTL6","150","229","375","220","276","313","378","146","197","172"
"METTL7A","865","472","2484","342","6786","2162","1884","1267","1167","1208"
"METTL7AP1","0","0","0","0","0","0","0","0","0","0"
"METTL7B","191","44","847","95","1227","104","46","18","196","139"
"METTL8","456","596","481","517","361","339","852","425","249","351"
"METTL8P1","1","0","0","0","0","0","0","0","0","0"
"METTL9","2341","5016","6161","1386","3815","1359","3122","1352","1475","2797"
"MEX3A","1814","136","652","403","65","1788","881","634","121","84"
"MEX3B","94","149","141","36","91","113","75","87","63","73"
"MEX3C","1769","1655","1590","920","1271","838","1326","844","674","545"
"MEX3D","615","423","793","972","635","348","240","417","457","283"
"MFAP1","841","1061","1289","364","1385","699","1576","523","814","567"
"MFAP1P1","3","0","2","0","2","0","0","0","7","0"
"MFAP2","1849","4629","1985","915","529","859","2743","1618","601","958"
"MFAP3","276","654","923","301","601","501","459","164","348","284"
"MFAP3L","64","195","110","43","150","366","76","36","13","53"
"MFAP4","1266","498","7869","849","6736","3046","1614","1585","1715","2465"
"MFAP5","16","295","131","220","177","67","31","114","18","43"
"MFF","1066","1341","2366","1067","1523","905","2544","722","876","1218"
"MFGE8","1040","5102","5456","1817","3548","1890","2642","2155","2798","2544"
"MFHAS1","1002","625","1316","4532","1826","1601","1936","831","1806","436"
"MFN1","1622","3526","1672","1385","1643","1359","1910","2418","624","814"
"MFN2","3553","5765","8219","3393","4117","2823","5372","2049","2121","3037"
"MFNG","81","260","817","196","894","407","284","322","333","167"
"MFRP","0","0","0","0","0","0","1","0","0","0"
"MFSD1","2335","1862","3547","1847","5513","2562","2620","1892","1878","1588"
"MFSD10","1828","1118","3887","1605","2391","983","1327","1170","1558","1360"
"MFSD11","2368","2873","3124","3703","2588","2094","3277","2101","1163","1745"
"MFSD12","570","2002","1907","2851","2693","722","982","1407","1267","1404"
"MFSD13A","127","204","702","223","594","221","398","327","200","153"
"MFSD13B","0","7","0","1","15","3","1","2","5","0"
"MFSD14A","29","10","49","32","57","30","51","14","12","13"
"MFSD14B","1175","4666","2895","2381","2906","1705","1817","1942","1582","1576"
"MFSD14C","151","306","238","150","177","67","151","63","112","96"
"MFSD1P1","3","1","0","0","2","0","0","1","1","0"
"MFSD2A","354","908","4658","390","1854","598","1104","898","1142","1998"
"MFSD2B","15","10","11","17","13","11","12","12","5","4"
"MFSD3","324","265","1063","529","374","161","360","402","372","322"
"MFSD4A","91","100","3380","129","3432","748","106","45","1453","213"
"MFSD4B","872","272","282","187","218","162","147","101","95","80"
"MFSD4BP1","0","0","0","0","0","0","0","0","0","0"
"MFSD5","650","1477","1556","721","1565","843","998","627","486","763"
"MFSD6","911","1738","3337","1110","4126","2221","2076","940","1181","1028"
"MFSD6L","18","29","774","72","16","457","7","13","6","25"
"MFSD7","76","82","1028","150","629","266","160","160","309","177"
"MFSD8","298","690","535","293","654","274","309","224","248","244"
"MFSD9","242","324","558","479","653","566","251","450","234","180"
"MGA","1223","1013","1713","912","1713","1400","710","660","722","455"
"MGAM","6","80","68","22","135","101","54","20","80","10"
"MGAM2","1","0","0","0","178","2","0","1","0","0"
"MGARP","4","0","24","2","1","3","0","3","4","2"
"MGAT1","2838","9641","9619","3588","7560","6143","7622","6326","3797","3727"
"MGAT2","951","2035","2676","1328","1795","984","1153","891","880","4512"
"MGAT2P1","0","0","0","0","0","0","0","0","0","0"
"MGAT2P2","0","0","0","0","0","0","0","0","0","0"
"MGAT3","590","47","137","733","2311","177","202","77","104","40"
"MGAT3-AS1","5","0","0","0","3","0","0","0","0","0"
"MGAT4A","338","674","1993","330","1988","2989","522","769","793","297"
"MGAT4B","1084","3438","6515","2630","5899","3402","2528","4578","2953","1301"
"MGAT4C","1","1","6","0","7","10","80","26","0","1"
"MGAT4D","0","0","0","0","0","0","0","0","0","0"
"MGAT4EP","23","0","0","0","0","8","6","0","0","3"
"MGAT5","1425","1160","2587","2125","3964","2842","3233","1601","2528","745"
"MGAT5B","20","11","90","174","17","22","7","5","3","3"
"MGEA5","4358","2721","4135","1640","5547","2846","1805","1577","2878","1315"
"MGLL","4331","2603","12218","1802","21414","2864","1494","745","7690","2744"
"MGME1","1520","910","508","2819","614","579","1058","793","291","448"
"MGMT","605","945","2444","480","681","564","221","211","301","596"
"MGP","389","798","37118","1345","9736","8048","937","1384","6001","4659"
"MGRN1","1234","1299","5292","1163","5271","3206","1437","1192","2477","1119"
"MGST1","2003","5074","8428","1244","2399","4560","8320","2063","6714","5842"
"MGST2","301","659","1730","1132","2402","404","943","262","646","948"
"MGST3","1355","1335","4078","811","3592","1684","2473","1365","714","1474"
"MHENCR","29","60","122","61","72","31","26","55","65","20"
"MIA","0","1","1","0","0","0","0","0","0","0"
"MIA2","0","0","0","0","1","0","0","0","0","1"
"MIA3","1700","1346","2220","2142","7117","2567","2011","1596","1407","1321"
"MIAT","78","314","40","2423","195","74","220","1116","268","34"
"MIATNB","135","100","121","76","66","27","125","50","36","91"
"MIB1","723","2183","1917","2062","2075","4671","1631","2322","1008","620"
"MIB2","1027","1306","1046","1280","857","248","462","453","386","553"
"MICA","210","1620","1499","585","676","390","1240","693","231","215"
"MICAL1","354","874","1047","900","2682","813","479","1103","823","306"
"MICAL2","443","2533","6961","944","4626","3161","2746","1028","5790","1618"
"MICAL3","945","751","270","1026","700","249","796","487","101","332"
"MICALCL","59","538","245","16","194","368","23","6","159","132"
"MICALL1","1428","5067","860","2371","1219","1215","3181","1359","416","2285"
"MICALL2","423","1952","1484","844","3218","378","445","864","655","546"
"MICB","34","796","507","155","227","112","276","504","191","111"
"MICC","0","1","5","0","0","0","0","0","1","0"
"MICD","0","41","3","2","0","1","1","2","1","0"
"MICE","3","22","10","8","23","8","5","6","16","8"
"MICF","0","24","0","0","2","0","0","0","0","0"
"MICG","0","7","0","0","0","0","0","0","0","0"
"MICU1","1216","1152","2899","844","2901","1579","2578","977","945","973"
"MICU2","521","1551","2190","555","1263","533","827","501","845","718"
"MICU3","117","25","101","53","94","38","70","50","75","25"
"MID1","2522","757","908","1143","1365","240","2962","1030","415","663"
"MID1IP1","837","1205","4223","1868","5534","1040","3027","1046","2772","2961"
"MID1IP1-AS1","18","11","119","84","154","36","45","26","96","29"
"MID2","467","239","370","438","159","337","463","109","119","280"
"MIDN","2958","1182","4752","2496","5245","1495","2297","1405","2982","1861"
"MIEF1","1097","1843","1225","1573","1343","1013","3575","1051","740","1097"
"MIEF2","200","320","1408","182","620","275","259","158","189","174"
"MIEN1","972","1232","3302","1217","1701","1242","1255","895","827","664"
"MIER1","712","2196","2478","398","2151","997","1495","738","1239","726"
"MIER2","640","469","583","1175","675","250","392","443","385","343"
"MIER3","766","848","1753","308","763","500","410","269","493","222"
"MIF","968","853","1054","1209","682","406","4264","581","433","883"
"MIF-AS1","9177","10019","9777","18323","3998","3644","61046","10072","3896","12816"
"MIF4GD","461","1024","2561","728","935","708","965","697","564","644"
"MIGA1","607","583","1009","282","1027","687","431","412","408","308"
"MIGA2","455","713","424","847","985","241","305","389","500","223"
"MIIP","498","1257","1574","895","499","396","835","796","335","350"
"MILR1","30","96","247","63","191","146","95","82","95","47"
"MIMT1","0","0","0","0","1","0","0","2","1","0"
"MINCR","77","55","87","71","39","50","79","63","84","23"
"MINDY1","391","371","1671","287","1526","373","472","211","314","284"
"MINDY2","492","1770","1159","356","1592","423","338","472","748","318"
"MINDY3","165","388","930","251","772","461","187","177","440","195"
"MINDY4","6","14","30","19","46","9","7","8","30","9"
"MINDY4B","2","3","0","1","1","0","1","1","0","0"
"MINK1","2660","2483","2596","4714","5849","3067","2235","2739","1288","1346"
"MINOS1","112","124","559","74","244","81","90","86","93","48"
"MINOS1P3","0","15","44","1","1","1","0","7","0","0"
"MINOS1P4","0","0","0","0","0","0","0","0","0","0"
"MINPP1","442","1071","1542","304","1312","555","1125","318","600","389"
"MIOS","894","1028","1501","839","1300","660","933","553","518","485"
"MIOX","10","52","28","5","123","3","2","9","1","2"
"MIOXP1","1","0","0","0","0","0","0","0","1","0"
"MIP","45","175","170","81","104","85","122","86","16","53"
"MIPEP","177","682","599","437","515","508","781","378","291","399"
"MIPEPP1","0","0","3","1","0","0","0","1","0","0"
"MIPEPP2","0","0","0","0","0","0","0","0","0","0"
"MIPEPP3","22","70","35","37","47","13","24","28","15","18"
"MIPOL1","325","239","465","247","438","191","168","118","145","455"
"MIR1-1","0","0","0","0","0","0","0","0","0","0"
"MIR1-1HG","0","0","0","0","0","0","0","0","0","0"
"MIR100","0","0","0","0","0","0","0","0","0","0"
"MIR100HG","46","408","705","70","163","142","142","117","194","313"
"MIR101-1","0","0","0","0","0","0","0","0","0","0"
"MIR101-2","0","0","0","0","0","0","0","0","0","0"
"MIR103A1","0","0","0","0","0","0","0","0","0","0"
"MIR103A2","1","8","9","1","3","2","1","3","0","4"
"MIR105-1","0","0","0","0","0","0","0","0","0","0"
"MIR105-2","0","0","0","0","0","0","0","0","0","0"
"MIR106B","0","0","3","0","0","1","0","1","0","0"
"MIR107","0","0","1","0","0","0","0","0","0","0"
"MIR10B","1","0","0","3","0","0","0","0","1","0"
"MIR1179","0","0","0","0","0","0","0","0","0","0"
"MIR1180","0","0","0","1","2","1","0","0","0","0"
"MIR1183","0","0","0","0","0","0","0","0","0","0"
"MIR1185-1","0","0","0","0","0","0","0","0","0","0"
"MIR1185-2","0","0","0","0","0","0","0","0","0","0"
"MIR1193","0","0","0","0","0","0","0","0","0","0"
"MIR1197","0","0","0","0","0","0","0","0","0","0"
"MIR1200","0","0","0","0","0","0","0","0","0","0"
"MIR1202","0","0","0","0","0","0","0","0","0","0"
"MIR1203","0","0","0","0","0","0","0","0","0","0"
"MIR1205","0","0","0","1","2","0","0","1","0","0"
"MIR1207","0","0","0","0","0","0","0","0","0","0"
"MIR1208","0","0","0","0","0","0","0","0","0","0"
"MIR1224","0","0","0","0","0","0","0","0","0","0"
"MIR1225","0","0","0","0","0","0","0","0","0","0"
"MIR1226","0","0","0","0","0","0","0","0","0","0"
"MIR1227","0","0","0","0","0","0","0","0","0","0"
"MIR1228","0","0","0","0","0","0","0","0","0","0"
"MIR1229","0","0","0","0","0","0","0","0","0","0"
"MIR1231","0","0","0","0","0","0","0","0","0","0"
"MIR1233-1","0","0","0","0","0","0","0","0","0","0"
"MIR1233-2","0","0","0","0","0","0","0","0","0","0"
"MIR1237","0","0","0","0","0","0","0","0","0","0"
"MIR1238","0","0","0","0","0","0","0","0","0","0"
"MIR124-2","0","0","0","0","0","0","0","0","0","0"
"MIR124-2HG","0","0","0","0","0","0","0","0","0","0"
"MIR124-3","0","0","0","0","0","0","0","0","0","0"
"MIR1245A","0","0","0","0","0","0","0","0","1","0"
"MIR1249","1","1","1","4","4","1","0","1","0","1"
"MIR1250","0","1","0","0","0","1","0","0","1","0"
"MIR1251","0","0","0","0","0","0","0","0","0","0"
"MIR1252","0","0","0","0","0","0","0","0","0","0"
"MIR1254-1","7","8","2","6","7","1","0","9","8","0"
"MIR1254-2","0","0","0","0","0","0","0","0","0","0"
"MIR1255A","1","4","0","0","0","0","0","0","1","0"
"MIR1255B2","0","0","0","0","1","0","0","0","0","0"
"MIR1256","0","0","0","0","0","0","0","0","0","0"
"MIR1258","0","0","0","0","0","0","0","0","0","0"
"MIR125B1","0","0","0","0","1","0","0","0","0","0"
"MIR125B2","1","0","0","0","1","0","0","0","0","0"
"MIR126","1","2","10","0","2","0","0","1","1","0"
"MIR1261","0","0","0","0","0","0","0","0","0","0"
"MIR1262","0","0","0","0","0","0","0","0","0","0"
"MIR1263","0","0","0","0","0","0","0","0","0","0"
"MIR1265","0","0","0","0","0","0","0","0","0","0"
"MIR1266","0","0","0","0","0","0","0","0","0","0"
"MIR1267","0","0","0","0","0","0","0","0","0","0"
"MIR1268A","0","0","0","0","0","0","0","0","0","0"
"MIR1268B","0","0","0","0","0","0","0","0","0","0"
"MIR1269A","0","0","0","0","0","0","0","0","0","0"
"MIR1269B","0","0","0","0","0","0","0","0","0","0"
"MIR1270","0","0","0","0","0","0","0","0","0","0"
"MIR1271","0","1","0","0","0","0","0","1","0","0"
"MIR1272","0","0","0","0","0","0","0","0","0","0"
"MIR1273A","0","0","0","0","0","0","0","0","0","0"
"MIR1273C","0","0","2","0","0","0","0","0","0","0"
"MIR1273D","0","0","0","0","0","0","0","0","0","0"
"MIR1273F","0","0","0","0","1","0","0","0","0","0"
"MIR1273G","0","0","0","0","0","0","0","0","0","0"
"MIR1275","0","0","0","0","0","0","0","0","0","0"
"MIR1276","0","0","0","0","0","0","0","0","1","0"
"MIR1277","0","0","0","0","0","0","0","0","0","0"
"MIR1278","0","0","0","0","0","0","0","0","0","0"
"MIR128-1","0","0","0","0","0","0","0","0","0","0"
"MIR128-2","0","0","0","0","0","0","0","0","0","0"
"MIR1283-1","0","0","0","0","0","0","0","0","0","0"
"MIR1283-2","0","0","0","0","0","0","0","0","0","0"
"MIR1284","0","0","0","0","1","0","0","0","0","0"
"MIR1285-1","3","0","0","4","0","2","1","1","3","0"
"MIR1285-2","0","0","0","0","0","0","0","0","0","0"
"MIR1286","0","0","0","0","1","0","0","0","0","0"
"MIR1288","0","0","0","0","0","0","0","0","0","0"
"MIR1289-1","0","0","0","0","0","0","0","1","0","0"
"MIR1289-2","0","0","0","0","0","0","0","0","0","0"
"MIR129-1","0","0","0","0","0","0","0","0","0","0"
"MIR129-2","0","0","0","0","0","0","0","0","0","0"
"MIR1290","1","0","0","0","0","0","0","0","0","0"
"MIR1293","0","0","0","0","0","0","0","0","0","0"
"MIR1294","0","0","0","0","0","0","0","0","0","0"
"MIR1295A","0","0","0","0","1","0","0","0","0","0"
"MIR1296","1","0","1","0","0","0","0","0","0","0"
"MIR1298","0","0","0","0","0","0","0","0","0","0"
"MIR1301","0","0","0","1","0","0","0","1","0","0"
"MIR1302-2HG","0","0","0","1","0","1","1","0","0","0"
"MIR1302-3","0","0","0","1","1","0","0","5","1","0"
"MIR1302-4","0","0","0","0","0","0","0","0","0","0"
"MIR1302-5","0","0","0","0","0","0","0","0","0","0"
"MIR1302-6","0","0","0","0","0","0","0","0","0","0"
"MIR1302-7","0","0","0","0","0","0","0","0","0","0"
"MIR1302-8","0","0","0","0","1","0","0","0","1","0"
"MIR1303","0","1","0","0","0","0","0","1","0","0"
"MIR1305","0","0","0","0","0","0","0","0","0","0"
"MIR130A","0","0","0","0","0","0","0","0","0","0"
"MIR130B","14","3","14","19","3","4","5","25","5","2"
"MIR132","0","0","0","0","0","0","0","0","0","0"
"MIR1323","0","0","0","0","0","0","0","0","0","0"
"MIR133A1HG","0","1","1","0","2","0","0","2","0","0"
"MIR133B","0","0","0","0","0","0","0","0","0","0"
"MIR134","0","0","0","0","0","0","0","0","0","0"
"MIR1343","0","0","0","0","0","0","0","0","0","0"
"MIR135A2","0","0","0","0","3","0","0","0","0","0"
"MIR135B","0","2","1","1","3","0","0","0","1","0"
"MIR137HG","10","51","0","0","0","2","0","0","0","13"
"MIR138-1","0","0","0","1","0","0","0","0","0","0"
"MIR138-2","0","0","0","0","0","0","0","0","0","0"
"MIR139","0","0","0","0","0","0","0","0","0","0"
"MIR140","0","0","0","0","1","0","0","0","0","0"
"MIR141","0","0","0","2","1","0","0","0","0","0"
"MIR1468","0","0","0","0","0","0","0","0","0","0"
"MIR146B","0","0","0","0","0","0","0","1","0","0"
"MIR1471","0","0","0","0","0","0","0","0","0","0"
"MIR147A","0","0","0","0","0","0","0","0","0","0"
"MIR148A","0","0","0","0","0","0","0","0","0","0"
"MIR148B","0","0","0","0","1","0","0","0","0","0"
"MIR149","0","0","0","4","0","0","0","0","0","0"
"MIR151A","0","0","0","0","0","0","0","0","1","0"
"MIR151B","0","0","1","0","0","0","0","0","0","0"
"MIR152","0","0","0","1","0","0","0","0","0","0"
"MIR153-1","0","0","0","0","0","0","0","0","0","0"
"MIR153-2","0","0","0","0","0","0","0","0","0","0"
"MIR1537","0","0","0","0","0","0","0","0","0","0"
"MIR154","0","0","0","0","0","0","0","0","0","0"
"MIR155HG","11","80","28","5","23","9","12","35","51","7"
"MIR15B","0","0","0","0","0","0","0","0","0","0"
"MIR16-1","0","0","0","0","0","0","0","0","0","0"
"MIR16-2","0","0","0","0","0","0","0","0","0","0"
"MIR17HG","8","52","8","53","14","10","14","20","43","1"
"MIR181A1","0","0","0","0","0","0","0","0","0","0"
"MIR181A1HG","0","3","4","1","2","2","3","0","2","0"
"MIR181A2","1","0","0","0","1","0","0","0","0","0"
"MIR181A2HG","15","20","25","6","14","1","3","7","13","11"
"MIR181B1","0","0","0","0","0","0","0","0","0","0"
"MIR181B2","1","0","0","0","0","0","0","0","0","0"
"MIR181C","0","0","0","0","0","0","0","0","0","0"
"MIR181D","0","0","0","0","0","0","0","0","0","0"
"MIR182","0","0","0","0","0","0","0","0","0","0"
"MIR1827","0","0","0","0","0","0","0","0","0","0"
"MIR183","0","0","0","0","0","0","0","0","0","0"
"MIR184","0","0","0","0","0","0","0","0","0","0"
"MIR185","0","0","0","1","0","0","0","0","0","0"
"MIR186","3","3","1","2","7","0","1","4","19","0"
"MIR187","0","0","1","0","0","0","0","0","0","0"
"MIR188","0","0","0","0","0","0","0","0","0","0"
"MIR190A","0","0","0","0","0","0","0","0","0","0"
"MIR190B","0","0","0","0","0","0","0","0","0","0"
"MIR191","0","0","0","0","0","0","0","0","0","0"
"MIR1911","0","0","0","0","0","0","0","0","0","0"
"MIR1912","0","0","0","0","0","0","0","0","0","0"
"MIR1913","0","0","0","0","0","0","0","0","0","0"
"MIR1915","0","0","1","0","0","0","0","0","0","0"
"MIR193A","0","0","0","0","1","0","0","0","0","0"
"MIR193B","0","0","0","2","0","0","0","0","0","0"
"MIR193BHG","4","102","13","6","11","4","9","8","4","7"
"MIR194-1","0","0","0","0","0","0","1","0","0","0"
"MIR194-2HG","1","2","0","2","156","0","0","1","3","0"
"MIR196A1","0","2","0","5","0","0","0","0","0","0"
"MIR196A2","0","1","0","0","0","0","0","0","0","0"
